9t9u_yPEidY,17.14.11,"Jennifer Lopez - Amor, Amor, Amor (Official Video) ft. Wisin",JenniferLopezVEVO,10,2017-11-10T15:00:00.000Z,9548677,190083,15015,11473,FALSE
KODzih-pYlU,17.14.11,BLIND(folded) CAKE DECORATING CONTEST (with Molly Burke) // Grace Helbig,Grace Helbig,22,2017-11-11T18:08:04.000Z,197062,7250,217,456,FALSE
8NHA23f7LvU,17.14.11,Jason Momoa Wows Hugh Grant With Some Dothraki | The Graham Norton Show,The Graham Norton Show,24,2017-11-10T19:06:23.000Z,1496225,16116,236,605,FALSE
w0XYVssCKjw,17.14.11,JaVale McGee's Parking Lot Chronicles: Episode 3,Kevin Durant,17,2017-11-11T20:00:02.000Z,162597,5734,106,525,FALSE
9XSULcLI6Hg,17.14.11,Kellyanne Conway on Roy Moore This Week Abc: Trump’s Not Being Briefed On This Bit By Bit 11/12/17,JimBrowski 96HourNews,25,2017-11-12T15:24:29.000Z,9132,21,8,64,FALSE
pjuPpVLXDQg,17.14.11,Train Swipes Parked Vehicle,ViralHog,2,2017-11-13T00:46:11.000Z,7265,89,8,22,FALSE
9xSx-5tmq44,17.14.11,Daddy's Home 2 - Movie Review,Jeremy Jahns,24,2017-11-11T06:34:48.000Z,291597,8209,344,1062,FALSE
4v0nOAzcG2A,17.14.11,The Super Google Pixel 2 Camera Upgrade!,Jonathan Morrison,28,2017-11-11T15:38:32.000Z,290801,10237,377,1016,FALSE
oTObwUiXdYY,17.14.11,"7.3 Magnitude Earthquake Along Iraq-Iran Border Leaves At Least 400 Dead, 7,200 Injured | TIME",TIME,25,2017-11-13T15:44:35.000Z,5304,52,13,68,FALSE
1cgK-BIrXes,17.14.11,#VeteransDay: Thank You for Everything,YouTube Spotlight,24,2017-11-10T15:07:13.000Z,812516,26917,1979,4998,FALSE
ujyTQNNjjDU,17.14.11,G-Eazy - The Plan (Official Video),GEazyMusicVEVO,10,2017-11-10T05:00:01.000Z,2642930,115795,3055,6410,FALSE
PABlVzeldaM,17.14.11,U.S. Navy Three Carrier Formation in Western Pacific Ocean,U.S. Navy,25,2017-11-12T13:13:33.000Z,105058,493,54,347,FALSE
6340tX9M_eM,17.14.11,Batman: Gotham by Gaslight - Exclusive Trailer (2018),IGN,24,2017-11-10T19:00:00.000Z,537715,8231,413,970,FALSE
8mhTWqWlQzU,17.14.11,Wearing Online Dollar Store Makeup For A Week,Safiya Nygaard,22,2017-11-11T01:19:33.000Z,2744430,115426,1110,6541,FALSE
t4YAyT4ihIQ,17.14.11,Getting My Driver's License | Lele Pons,Lele Pons,23,2017-11-10T18:30:01.000Z,3358068,120876,8279,6408,FALSE
MNiweoKXwfg,17.14.11,Watch Norman Reedus Come Face to Face with his ‘Walking Dead’ Double,INSIDER,24,2017-11-13T17:00:26.000Z,4732,203,6,33,FALSE
Jw1Y-zhQURU,17.14.11,John Lewis Christmas Ad 2017 - #MozTheMonster,John Lewis,26,2017-11-10T07:38:29.000Z,7224515,55681,10247,9479,FALSE
2Vv-BfVoq4g,17.14.11,Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,10,2017-11-09T11:04:14.000Z,33523622,1634124,21082,85067,FALSE
UFYCTJlayS4,17.14.11,Top 10 iPhone Apps for Productivity & Content Creation,Sara Dietschy,1,2017-11-13T03:56:10.000Z,52591,2233,187,255,FALSE
cccyOn99s4Y,17.14.11,Reacting to Running a Half Marathon | MEGANBYTES EP. 101,MeganBatoon,24,2017-11-10T23:00:01.000Z,75822,2978,147,243,FALSE
